12:54:05.378 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/place/room/edit/do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.place.room.controller.PlaceRoomController.saveEditPlaceRoom(nanqu.djtu.pojo.PlaceRoom,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
12:54:05.379 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/printer/list],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView nanqu.djtu.admin.printer.controller.PrinterController.list()
12:54:05.379 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/printer/add/do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.printer.controller.PrinterController.save(nanqu.djtu.pojo.Printer,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
12:54:05.380 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/printer/delete/{printerId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.printer.controller.PrinterController.delete(java.lang.String,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
12:54:05.380 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/printer/add/route],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.printer.controller.PrinterController.routeAdd()
12:54:05.380 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/printer/edit/route/{printerId}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView nanqu.djtu.admin.printer.controller.PrinterController.routeEdit(java.lang.String)
12:54:05.380 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/printer/edit/do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.printer.controller.PrinterController.saveEditPlaceDistinct(nanqu.djtu.pojo.Printer,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
12:54:05.380 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/printer/unique/printIp],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public boolean nanqu.djtu.admin.printer.controller.PrinterController.PrinterIpUnique(nanqu.djtu.pojo.Printer)
12:54:05.380 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/printer/unique/printerNumber],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public boolean nanqu.djtu.admin.printer.controller.PrinterController.PrinterNumberUnique(nanqu.djtu.pojo.Printer)
12:54:05.381 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/repairgroup/list],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView nanqu.djtu.admin.repairgroup.controller.RepairGroupController.list()
12:54:05.381 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [AbstractHandlerMethodMapping.java:217] Mapped "{[/admin/repairgroup/add/do],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String nanqu.djtu.admin.repairgroup.controller.RepairGroupController.save(nanqu.djtu.pojo.RepairGroup,org.springframework.web.servlet.mvc.support.RedirectAttributes,javax.servlet.http.HttpSession)
